tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0006570,movie,Davy Crockett,Davy Crockett,0,1916,,50,"Action,Biography,Western"
tt0006741,movie,The Greater Woman,The Greater Woman,0,1917,,50,"Drama,Romance"
tt0006908,movie,The Lash,The Lash,0,1916,,90,Drama
tt0007932,movie,The Fatal Ring,The Fatal Ring,0,1917,,,Action
tt0008291,movie,Might and the Man,Might and the Man,0,1917,,,Drama
tt0008757,movie,Wenn Frauen lieben und hassen,Wenn Frauen lieben und hassen,0,1917,,40,
tt0009436,movie,NÃ¡szdal,NÃ¡szdal,0,1918,,,
tt0009571,movie,Rough and Ready,Rough and Ready,0,1918,,60,Western
tt0009795,movie,The Whirlpool,The Whirlpool,0,1918,,50,"Crime,Drama"
tt0010659,movie,Savva,Savva,0,1919,,,
tt0010745,movie,The Sundown Trail,The Sundown Trail,0,1919,,,Western
tt0010969,movie,Missing Husbands,L'Atlantide,0,1921,,136,"Adventure,Fantasy,Mystery"
tt0011139,movie,Duds,Duds,0,1920,,,Mystery
tt0012127,movie,The Duke of Chimney Butte,The Duke of Chimney Butte,0,1921,,50,Western
tt0012594,movie,A Private Scandal,A Private Scandal,0,1921,,50,Drama
tt0014904,short,Egy fiÃºnak a fele,Egy fiÃºnak a fele,0,1924,,41,"Drama,Short"
tt0015550,movie,Alias Mary Flynn,Alias Mary Flynn,0,1925,,,Drama
tt0015702,movie,Confessions of a Queen,Confessions of a Queen,0,1925,,64,Drama
tt0016010,movie,The Last Witness,The Last Witness,0,1925,,60,"Crime,Drama"
tt0016103,movie,Men and Women,Men and Women,0,1925,,60,Drama
tt0016241,movie,Pretty Ladies,Pretty Ladies,0,1925,,74,"Comedy,Drama"
tt0017711,movie,The Brute,The Brute,0,1927,,70,Western
tt0019663,movie,Aveiro Desportivo,Aveiro Desportivo,0,1929,,,
tt0019803,movie,Dark Red Roses,Dark Red Roses,0,1929,,63,Drama
tt0020261,movie,Passion Song,Passion Song,0,1928,,60,Drama
tt0020520,movie,True Heaven,True Heaven,0,1929,,61,"Drama,War"
tt0020812,short,Darkest Africa,Darkest Africa,0,1930,,,"Animation,Short"
tt0021637,movie,Bag o' Tricks,Bag o' Tricks,0,1931,,,
tt0021938,short,Half Holiday,Half Holiday,0,1931,,21,"Comedy,Short"
tt0022481,movie,Three Who Loved,Three Who Loved,0,1931,,64,Drama
tt0022527,movie,Up for the Cup,Up for the Cup,0,1931,,76,Comedy
tt0023962,short,Down by the Old Mill Stream,Down by the Old Mill Stream,0,1933,,,"Animation,Music,Short"
tt0024289,movie,The Little School Mistress,La maestrina,0,1934,,60,Drama
tt0024640,movie,Take a Chance,Take a Chance,0,1933,,82,"Comedy,Musical"
tt0024953,movie,Il cardinale Lambertini,Il cardinale Lambertini,0,1934,,72,
tt0025699,movie,Randy Rides Alone,Randy Rides Alone,0,1934,,52,Western
tt0025708,movie,Regine,Regine,0,1935,,90,
tt0026311,movie,Miss President,ElnÃ¶kkisasszony,0,1935,,98,Comedy
tt0026549,movie,Jinsei no onimotsu,Jinsei no onimotsu,0,1935,,66,"Comedy,Drama"
tt0026551,movie,The Actress and the Poet,JoyÃ» to shijin,0,1935,,73,Comedy
tt0028262,movie,Skandal um die Fledermaus,Skandal um die Fledermaus,0,1936,,82,
tt0028345,movie,Tarzan Escapes,Tarzan Escapes,0,1936,,89,"Action,Adventure"
tt0029304,short,News for the Navy,News for the Navy,0,1937,,10,Short
tt0029647,movie,"Thank You, Madame",Opernring,0,1936,,93,
tt0031033,movie,Allegheny Uprising,Allegheny Uprising,0,1939,,81,"Adventure,History,Western"
tt0031047,movie,Another Thin Man,Another Thin Man,0,1939,,103,"Comedy,Crime,Mystery"
tt0031472,movie,Ich verweigere die Aussage,Ich verweigere die Aussage,0,1939,,100,
tt0033126,movie,SÃ¡rga rÃ³zsa,SÃ¡rga rÃ³zsa,0,1941,,75,
tt0034396,movie,Wir bitten zum Tanz,Wir bitten zum Tanz,0,1941,,88,"Comedy,Musical,Romance"
tt0034913,short,Japoteurs,Japoteurs,0,1942,,9,"Action,Animation,Drama"
tt0035821,movie,The Mountain Woman,La donna della montagna,0,1944,,93,Drama
tt0035962,movie,The Halfway House,The Halfway House,0,1944,,95,"Drama,Fantasy,Mystery"
tt0041469,movie,The History of Mr. Polly,The History of Mr. Polly,0,1949,,95,Drama
tt0042811,movie,Operation Haylift,Operation Haylift,0,1950,,73,Drama
tt0043542,movie,Flame of Araby,Flame of Araby,0,1951,,77,Adventure
tt0044172,movie,L'homme de ma vie,L'homme de ma vie,0,1952,,98,Drama
tt0044924,short,Mot framtiden,Mot framtiden,0,1952,,39,Short
tt0048021,movie,Rififi,Du rififi chez les hommes,0,1955,,118,"Crime,Thriller"
tt0048351,movie,The Marauders,The Marauders,0,1955,,81,Western
tt0048863,tvSeries,The Gale Storm Show: Oh! Susanna,The Gale Storm Show: Oh! Susanna,0,1956,1960,30,Comedy
tt0049090,short,Commotion on the Ocean,Commotion on the Ocean,0,1956,,16,"Comedy,Short"
tt0049539,movie,Naked Gun,Naked Gun,0,1956,,69,Western
tt0049549,movie,New Delhi,New Delhi,0,1956,,176,"Comedy,Drama,Musical"
tt0050154,movie,El azar se divierte,El azar se divierte,0,1958,,85,Comedy
tt0050499,movie,Hell's Crossroads,Hell's Crossroads,0,1957,,73,"Action,Adventure,Western"
tt0050626,movie,Les lavandiÃ¨res du Portugal,Les lavandiÃ¨res du Portugal,0,1957,,99,
tt0050903,movie,The River's Edge,The River's Edge,0,1957,,87,"Adventure,Crime,Drama"
tt0051154,movie,Seventh Heaven,Le septiÃ¨me ciel,0,1958,,107,"Comedy,Mystery"
tt0052723,movie,Date at Midnight,Date at Midnight,0,1959,,57,Crime
tt0053881,movie,A Bully in 1900,Un guapo del '900,0,1960,,84,Drama
tt0054327,movie,"Sooo nicht, meine Herren","Sooo nicht, meine Herren",0,1960,,90,"Comedy,Crime"
tt0054450,movie,Vsyo nachinayetsya s dorogi,Vsyo nachinayetsya s dorogi,0,1960,,88,"Drama,Romance"
tt0057463,movie,The Running Man,The Running Man,0,1963,,103,"Crime,Drama,Thriller"
tt0057501,tvMovie,Signor Rizzi kommt zurÃ¼ck,Signor Rizzi kommt zurÃ¼ck,0,1963,,,
tt0059337,movie,Left Handed Johnny West,Johnny West il mancino,0,1967,,109,Western
tt0060573,movie,Broken Toys,Juguetes rotos,0,1966,,80,Drama
tt0062210,short,Rodent to Stardom,Rodent to Stardom,0,1967,,6,"Animation,Comedy,Family"
tt0062258,movie,Shan Shan,Shan Shan,0,1967,,104,"Drama,Family,Romance"
tt0062474,movie,Warrendale,Warrendale,0,1967,,100,Documentary
tt0064489,short,Intervals,Intervals,0,1969,,7,Short
tt0064641,movie,Massacre Harbor,Massacre Harbor,0,1968,,81,"Action,Adventure,War"
tt0064689,movie,Monterey Pop,Monterey Pop,0,1968,,78,"Documentary,History,Music"
tt0064981,movie,Silent Friends,Silent Friends,0,1969,,84,Drama
tt0069667,movie,47:an LÃ¶ken blÃ¥ser pÃ¥!,47:an LÃ¶ken blÃ¥ser pÃ¥!,0,1972,,,Comedy
tt0070829,movie,Dream City,Traumstadt,0,1973,,124,"Drama,Fantasy,Horror"
tt0071396,movie,Messiah of Evil,Messiah of Evil,0,1973,,90,Horror
tt0072336,movie,Ulzana,Ulzana,0,1974,,91,"Adventure,Western"
tt0073042,movie,The Ghoul,The Ghoul,0,1975,,88,"Horror,Thriller"
tt0073375,tvMovie,Memento Mori,Memento Mori,0,1975,,,
