nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0005522,Mario Van Peebles,1957,,"actor,director,writer","tt0091187,tt0114084,tt0093300,tt0367790"
nm0028916,Leonid Andreyev,1871,1919,writer,"tt0002022,tt0014972,tt0228767,tt0006323"
nm0029156,Jerzy Andrzejewski,1909,1983,writer,"tt0062461,tt0052080,tt0042731,tt0054119"
nm0029253,Henri AndrÃ©ani,1877,1936,"director,writer,assistant_director","tt0478159,tt0434033,tt0200044,tt0001580"
nm0029525,Bert Angeles,1875,1950,"director,writer,actor","tt0412387,tt1313012,tt1342292,tt1342172"
nm0030338,Eitan Anner,1969,,"director,writer,actor","tt0814197,tt0446453,tt0162717,tt5907852"
nm0030365,Paul Annett,1937,2017,"director,producer,writer","tt0075579,tt0088512,tt0147770,tt0080336"
nm0030478,Jean Anouilh,1910,1987,"writer,director,soundtrack","tt0040098,tt0141969,tt0046090,tt0140952"
nm0030740,Zsuzsa Antala,1968,,director,"tt0169975,tt0155416"
nm0066067,Naresh Bedi,,,"camera_department,cinematographer,director","tt1058042,tt0852785,tt0265343,tt0068275"
nm0066218,Guy Norman Bee,,,"director,camera_department,producer",tt0197182
nm0017391,Julio Aldama,1931,1989,"actor,director,writer","tt0323292,tt0055527,tt0290023,tt0260684"
nm0017503,Jean Alden-Delos,,,"writer,director,producer","tt0071825,tt0149604,tt0160868,tt1686319"
nm0017749,William Aldridge,1950,2013,"miscellaneous,writer,actor","tt0088133,tt0084189,tt0119249,tt0093543"
nm0017964,Vladimir Alekseev,1910,2000,"writer,director,miscellaneous","tt0049828,tt0042407,tt0172814,tt0312732"
nm0018189,Alex,,,director,"tt0272235,tt0332674,tt0272303,tt0288186"
nm0018411,Ewart Alexander,,,writer,"tt0090400,tt0224851,tt0207895,tt0080234"
nm0071014,Vassal Benford,,,"composer,producer,soundtrack","tt0103491,tt0098749,tt0115580,tt0102526"
nm0071398,Christoph Benkelmann,,,"writer,producer","tt0891414,tt4449470,tt0339702,tt2052932"
nm0072306,Jean-Louis BenoÃ®t,1947,,"writer,director,actor","tt0129923,tt0120760,tt4781682,tt0099477"
nm0072315,Pierre BenoÃ®t,1886,1962,writer,"tt0010969,tt0023002,tt0049060,tt0031876"
nm0059106,Charles Barton,1902,1981,"director,assistant_director,producer","tt0035032,tt0041085,tt0053271,tt0040068"
nm0059165,James Barton,1890,1962,"actor,soundtrack,writer","tt0027747,tt0040884,tt0048893,tt0034182"
nm0010514,Alfred Adam,1908,1982,"actor,writer,soundtrack","tt0054048,tt0050997,tt0039215,tt0122617"
nm0010627,Witold Adamek,1945,2017,"cinematographer,director,producer","tt0090352,tt0287800,tt0089662,tt0095467"
nm0035613,Anthony Armstrong,1897,1976,writer,"tt0050679,tt0041305,tt0066053,tt0029811"
nm0013564,Lou Aguilar,,,"writer,actor,producer","tt0300485,tt0112942,tt0372851,tt0409729"
nm0013655,Michael AguilÃ³,,,"assistant_director,producer,director","tt0137109,tt0786912,tt0117985,tt1784742"
nm0014703,Marian Ainslee,1896,1966,"writer,miscellaneous","tt0019811,tt0029971,tt0016104,tt0013140"
nm0000076,FranÃ§ois Truffaut,1932,1984,"writer,director,producer","tt0075860,tt0070460,tt0053198,tt0055032"
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0052311,tt0033467,tt0057427,tt0059012"
nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0117998,tt0264616,tt0090605,tt0112384"
nm0000265,Robert Altman,1925,2006,"director,producer,writer","tt0105151,tt0066026,tt0108122,tt0280707"
nm0000281,Scott Baio,1960,,"actor,director,producer","tt0367279,tt0070992,tt0281680,tt0270846"
nm0000316,Mel Brooks,1926,,"actor,writer,soundtrack","tt0395251,tt0094012,tt0082517,tt0071230"
nm0000329,Jackie Chan,1954,,"actor,stunts,producer","tt0184894,tt0266915,tt0120812,tt0127357"
nm0000341,Michael Crichton,1942,2008,"writer,producer,director","tt0117998,tt0070909,tt0107290,tt0108757"
nm0000410,Stephen Fry,1957,,"actor,writer,producer","tt0371724,tt0120514,tt0280707,tt0434409"
nm0000513,William H. Macy,1950,,"actor,writer,soundtrack","tt0118749,tt1586680,tt0116282,tt0175880"
nm0000519,David Mamet,1947,,"writer,producer,director","tt0120202,tt0093223,tt0120885,tt0104348"
nm0000694,Wim Wenders,1945,,"director,producer,writer","tt0107209,tt0087884,tt0075675,tt0093191"
nm0000806,Bille August,1948,,"director,writer,cinematographer","tt0093713,tt0107151,tt0119683,tt0257215"
nm0000807,Jane Austen,1775,1817,writer,"tt0416508,tt1374989,tt0114388,tt0116191"
nm0000813,Tex Avery,1908,1980,"director,animation_department,writer","tt0033260,tt4864078,tt4863880,tt4864040"
nm0027893,Hellmut Andics,1922,1998,"writer,actor","tt0129942,tt0051730,tt0052088,tt0135904"
nm0028112,Pierros Andrakakos,,,"director,assistant_director,writer","tt0325703,tt2171273,tt3649128"
nm0003377,Harry Langdon,1884,1944,"actor,writer,director","tt0017483,tt0018102,tt0018761,tt0034871"
nm0003400,Joram LÃ¼rsen,1963,,"director,producer,writer","tt0495568,tt0382095,tt1609122,tt0468644"
nm0003586,Theo Lingen,1903,1978,"actor,director,writer","tt0022100,tt0799833,tt0133767,tt0023563"
nm0003798,Donald Martin,,,"writer,producer,miscellaneous","tt4933106,tt2806390,tt1216477,tt1285239"
nm0004092,Jean-Marc FÃ©lio,1953,,"producer,production_manager,director","tt0138035,tt0158671,tt0295254,tt0099333"
nm0004307,Shane Salerno,1972,,"writer,producer,music_department","tt0120591,tt1596753,tt1630029,tt1615065"
nm0004530,Nick Abdo,1950,,"producer,director,miscellaneous","tt1129421,tt0093693,tt0094715"
nm0004596,Steve Binder,1932,,"producer,director,writer","tt0075582,tt0331188,tt0283516,tt2763050"
nm0004675,Phil Alden Robinson,1950,,"writer,director,producer","tt0097351,tt0164184,tt0213668,tt0105435"
nm0004810,Chris Carter,1956,,"writer,producer,director","tt0106179,tt0243069,tt0443701,tt0120902"
nm0005690,William K.L. Dickson,1860,1935,"cinematographer,director,producer","tt1496763,tt1428455,tt6687694,tt0219560"
nm0005847,Phil Rosen,1888,1951,"director,cinematographer,producer","tt0012877,tt0024132,tt0023650,tt0032409"
nm0006318,Pyotr Ilyich Tchaikovsky,1840,1893,"soundtrack,music_department,composer","tt0053285,tt0070723,tt0122690,tt0181689"
nm0006370,Manoj Kumar,1937,,"actor,writer,producer","tt0149814,tt0072100,tt0146335,tt0233464"
nm0027898,Volker Anding,,,"director,writer","tt2123928,tt0206241,tt0393817,tt0393963"
nm0028761,Mark Andrews,1969,,"producer,miscellaneous,writer","tt0273539,tt2174936,tt0367188,tt2177332"
nm0003340,Marcel Jullian,1922,2004,"writer,director,actor","tt0056917,tt0060474,tt0216441,tt0253512"
nm0003355,Christopher Monger,1950,,"director,writer,producer","tt1278469,tt0112966,tt0227980,tt0239958"
nm0003577,Kevin R. Hershberger,1973,,"director,costume_designer,miscellaneous","tt4327600,tt4465100,tt0235048,tt2477218"
nm0003766,Michael Pakleppa,1950,,"producer,director,writer","tt0237078,tt0237937,tt3519178,tt0237878"
nm0003787,Bil Yoelin,,,"editor,writer,camera_department","tt0828164,tt0234854,tt1524594,tt1992224"
nm0003807,Paul Greenberg,1970,,"producer,director,writer","tt0238319,tt6335244,tt0179803,tt3067176"
nm0003907,Peter Rosen,,,"director,producer,editor","tt1906381,tt1561329,tt0396087,tt0357625"
nm0004627,Michael Lange,1950,,"director,producer,assistant_director","tt0098878,tt0096606,tt0106179,tt0976014"
nm0004839,Coolio,1963,,"music_department,soundtrack,actor","tt0112792,tt1980209,tt0990407,tt0287978"
nm0004937,Jamie Foxx,1967,,"actor,producer,writer","tt0350258,tt0369339,tt1853728,tt1197624"
nm0005344,Joe Regalbuto,1949,,"actor,director,soundtrack","tt0087589,tt0094514,tt0091828,tt0076095"
nm0005380,Ray Romano,1957,,"actor,writer,producer","tt0268380,tt1080016,tt0115167,tt5462602"
nm0005554,James Wilder,1968,,"actor,writer,producer","tt0108862,tt0103491,tt1907688,tt0094383"
nm0005640,Helmuth Ashley,1919,,"director,cinematographer,writer","tt0055212,tt0087118,tt0242203,tt0242211"
nm0005715,Ronald VÃ­ctor GarcÃ­a,,,"cinematographer,director,writer","tt0134032,tt0098936,tt0105665,tt0067871"
nm0005978,Nacio Herb Brown,1896,1964,"soundtrack,music_department,composer","tt0095016,tt0120685,tt0045152,tt0053125"
nm0006042,FranÃ§ois Dompierre,1943,,"composer,soundtrack,music_department","tt0087683,tt0207363,tt0089567,tt0116554"
nm0006241,Sergei Prokofiev,1891,1953,"soundtrack,music_department,composer","tt2395427,tt0206634,tt0473705,tt0095963"
nm0006388,David O. Selznick,1902,1965,"producer,miscellaneous,writer","tt0024216,tt0031381,tt0032976,tt0038499"
nm0006486,Jeff Sherman,,,"producer,miscellaneous,writer","tt1015971,tt1928320,tt0185895,tt0105958"
nm0006769,Narasa Raju D.V.,1920,2006,"writer,director","tt0352488,tt0234195,tt0266880,tt0333067"
nm0006837,Bill Melendez,1916,2008,"animation_department,producer,actor","tt0064107,tt2452042,tt0059026,tt0069289"
nm0006996,Paul Lazarus,1954,,"director,producer,writer","tt3242934,tt7315982,tt0098780,tt0177215"
nm0007029,Trey Callaway,,,"producer,writer,actor","tt0130018,tt3513704,tt2070791,tt0395843"
nm0007186,Arthur Miller,1915,2005,"writer,actor","tt0115988,tt0055184,tt0081344,tt0187806"
nm0007215,King Baggot,1879,1948,"actor,director,writer","tt0325166,tt0325656,tt0013288,tt0003022"
nm0008878,Mohamed Abou-Seif,,,"writer,director,assistant_director","tt0422574,tt0422798,tt8184800,tt0095704"
nm0054748,RenÃ© Barjavel,1911,1985,"writer,miscellaneous,actor","tt0045081,tt0043918,tt0048100,tt0052110"
nm0068017,Alistair Bell,,,"miscellaneous,writer","tt0084984,tt1570377,tt0050724,tt0081831"
nm0068419,Monta Bell,1891,1958,"producer,director,writer","tt0021868,tt0024789,tt0016023,tt0021568"
nm0068539,Theresa Bell,,,"actress,producer,writer","tt0086770,tt4845284,tt0104400,tt4526494"
nm0068960,Pino Belli,,,"writer,director,assistant_director","tt0055790,tt0058868,tt0038066,tt0058359"
nm0062145,Adam Bauman,1957,,"actor,writer","tt1135081,tt0097721,tt0253474,tt1937416"
nm0010653,Kasia Adamik,1972,,"director,art_department,assistant_director","tt4048942,tt5328350,tt0273453,tt0185183"
nm0010696,Ales Adamovich,1927,1994,writer,"tt0332820,tt0091251,tt0899242,tt1500483"
nm0011346,Scott Adams,1957,,"writer,producer,actor","tt1663637,tt0105946,tt0118984,tt7395840"
nm0011485,Ewart Adamson,1882,1945,"writer,editor","tt0036900,tt0018822,tt0019676,tt0028478"
nm0012646,Jerzy Afanasjew,1932,1991,"writer,assistant_director,director","tt0066250,tt1112854,tt1112819,tt1112899"
nm0061564,David Batty,,,"director,writer,cinematographer","tt0303810,tt2224121,tt0313611,tt5994458"
nm0049081,Vakhtang Bakhtadze,1914,,"director,animation_department,writer","tt0145927,tt0145645,tt0262611,tt0145646"
nm0003289,John Putch,1961,,"director,actor,producer","tt5047788,tt1441109,tt1407050,tt0285403"
nm0006625,Steve Barron,1956,,"director,producer,writer","tt0106598,tt0100758,tt0282744,tt5014882"
nm0029014,Peter Andrikidis,,,"director,producer,cinematographer","tt1090903,tt0907831,tt0250859,tt0428134"
nm0029176,Arnaldo AndrÃ©,1943,,"actor,miscellaneous,writer","tt0220195,tt0401958,tt2855376,tt1729622"
nm0029270,Yannick AndrÃ©i,1927,1987,"director,assistant_director,writer","tt0197123,tt0167718,tt0167617,tt0136511"
nm0030619,Joe Ansen,1908,1999,writer,"tt0042511,tt0052226,tt0044389,tt0239248"
nm0030720,Diomide Antadze,,,"director,assistant_director","tt0176098,tt0263476,tt0034351,tt0175677"
nm0066100,NÃ¡ndor Bednai,1933,2013,"director,writer,miscellaneous","tt0095767,tt0144732,tt4947480,tt0849411"
nm0066247,Ford Beebe,1888,1978,"writer,director,producer","tt0048314,tt0029755,tt0032475,tt0047036"
nm0017274,Luis Alcoriza,1918,1992,"writer,director,actor","tt0093430,tt0056584,tt0055527,tt0134817"
nm0019530,Carlo Alianello,1901,1981,writer,"tt0046023,tt0047469,tt1139087,tt0054447"
nm0072093,Timothy A. Bennett,1970,,"writer,director,producer","tt5059220,tt5599000,tt3900796,tt0317347"
nm0072252,Mariusz Benoit,1950,,"actor,director","tt0405571,tt0098096,tt0441074,tt0089714"
nm0072328,Jean BenoÃ®t-LÃ©vy,1888,1959,"director,producer,writer","tt0143749,tt0143315,tt0024310,tt0027730"
nm0059382,Geof Bartz,1943,,"editor,editorial_department,producer","tt0138974,tt0094416,tt0175844,tt0322733"
nm0028333,Glenn Andreiev,1961,,"director,actor,editor","tt0360976,tt1363474,tt1091759,tt0249224"
nm0003332,Julian Richards,1965,,"director,writer,producer","tt0127500,tt0847527,tt0227325,tt0319728"
nm0003471,Richard Wagner,1813,1883,"soundtrack,music_department,writer","tt1590193,tt0093894,tt0409459,tt0458339"
nm0003650,Michael Legge,1953,,"director,actor,writer","tt0197878,tt0245019,tt0182468,tt1221132"
nm0003698,Shirley Lixenberg,,,"set_decorator,art_department,director","tt0243155,tt0239484,tt0113375,tt0293929"
nm0003794,Ryszard Bugajski,1943,,"director,writer,producer","tt1420543,tt0084548,tt2807624,tt5662990"
nm0003960,Zrinko Ogresta,1958,,"director,writer,assistant_director","tt4647482,tt0334551,tt0113440,tt0210629"
nm0004025,Erik Fleming,,,"producer,director,writer","tt0165831,tt0159060,tt3526286,tt0112761"
nm0004105,Jay Sandrich,1932,,"director,assistant_director,producer","tt0053510,tt0075584,tt0086687,tt0065314"
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0468569,tt0106364,tt0372784,tt0096895"
nm0004365,Fred Williamson,1938,,"actor,director,producer","tt0066026,tt0116367,tt0072725,tt0072604"
nm0004520,Paul Diamond,,,"writer,miscellaneous,producer","tt0086759,tt0083437,tt0092374,tt0086760"
