tconst,directors,writers
tt3960552,nm1231522,"nm1231522,nm2327242"
tt3962734,,
tt3963386,,nm0160602
tt7385690,nm4341041,
tt7386246,nm3001869,nm3001869
tt7386272,nm7581542,nm0768687
tt7387230,nm7452195,
tt7388802,,
tt7391986,"nm9284354,nm9284356,nm3480954",
tt7394000,nm9267442,
tt7394646,"nm7269060,nm9286187",
tt9270344,nm5257008,"nm5257008,nm7271178,nm10255338,nm5324764"
tt8876168,,
tt8879498,nm0713686,
tt8880138,nm9523954,"nm9523954,nm9523955"
tt8881138,nm0165676,"nm0165676,nm9032877"
tt8882344,nm6479856,
tt8883182,nm10066823,
tt7055548,nm1916409,"nm0698753,nm1916409"
tt7055766,,
tt7057250,nm6239882,nm6239882
tt7061414,nm9089268,"nm9089268,nm0373119"
tt4629086,nm1334789,
tt4630578,nm1000113,nm5006555
tt4631528,nm2469871,nm2469871
tt4636194,nm3797884,nm3797884
tt4638040,nm2307773,nm2307773
tt4641774,nm0705779,"nm0568416,nm0568825,nm0362544,nm0509580,nm0301274,nm2889757"
tt4643298,nm4246043,nm4246043
tt4645258,nm0398314,nm5794274
tt4645372,nm1815255,"nm0739645,nm5641072"
tt4645534,nm5066011,nm5066011
tt4647384,,
tt4650716,"nm4910020,nm5088271","nm4910020,nm5088271"
tt7064626,nm9090391,
tt7066546,nm0696169,nm0696169
tt7066608,"nm9072172,nm9072171,nm9075388",
tt7066666,nm0549004,nm0549004
tt7068572,nm1273069,
tt7071404,nm9091338,
tt7074456,nm8674780,nm8674780
tt7075182,nm3879178,
tt7075244,nm8866330,
tt7075480,,
tt8883670,nm10049069,nm10049069
tt8884242,nm5723767,nm5723767
tt8884424,"nm2184357,nm5606155,nm1192865,nm8007383,nm2473045,nm10069203,nm9860767",
tt8888518,nm1987331,nm1987331
tt3172558,,nm0249418
tt3174952,nm5933895,nm5933895
tt3175826,nm3080878,nm3080878
tt3177394,nm1701437,
tt3178100,nm5337467,nm5337467
tt3181390,nm2442604,nm2442604
tt3181654,nm3966434,nm5941438
tt3183022,nm5944280,nm3710862
tt3183338,nm4667377,"nm6271019,nm6271006,nm4667377,nm6271010"
tt3184790,nm1775545,nm2081469
tt3184816,nm3881804,nm5945189
tt3187030,nm4972415,nm4972415
tt3187126,,
tt3187630,nm0698645,
tt3188490,,
tt3188502,"nm1755909,nm0113473","nm1755909,nm0113473"
tt3189636,nm5950289,nm5950294
tt8892166,nm2686899,nm2686899
tt8892306,,
tt6688142,nm0589106,nm0463171
tt6689546,nm8873046,"nm8877878,nm8873046"
tt6690330,nm4368593,nm0631744
tt6692350,nm8875787,
tt6692780,,
tt6693308,,
tt6695340,nm4582050,
tt6695684,nm3417042,"nm7280646,nm8876669"
tt6696508,nm7560881,
tt6696744,,nm3969565
tt5788558,nm5050195,nm5050195
tt5788978,nm8199942,
tt5789450,nm8200363,nm8200363
tt5790032,nm1672058,nm5729711
tt5791084,,"nm0685063,nm0726403"
tt5792468,nm3138460,nm3138460
tt5793946,nm7076032,nm7076023
tt5794306,nm3584100,"nm3584100,nm3584711"
tt5794312,nm1450550,nm1411001
tt5795728,nm6693598,"nm8206282,nm0456017"
tt5795978,nm7625185,
tt5796694,nm2916014,nm2916014
tt5801972,nm0025918,
tt5802882,,"nm0071014,nm1922800"
tt5803328,nm0990193,
tt5804656,nm8212700,nm8212700
tt5804694,nm7287713,nm7287713
tt5805174,nm1005015,nm1802842
tt5805466,nm3924185,nm1386793
tt5806332,nm6535791,
tt5806558,nm4305424,"nm1745567,nm4305424,nm1459623"
tt5806934,nm3868654,nm4742934
tt5808712,,nm5525290
tt5808758,nm4486737,
tt5810560,nm1701226,
tt6700554,nm2290885,"nm8879283,nm2290885"
tt6705642,nm0158423,nm3231235
tt6706224,nm8881816,nm8881816
tt6708772,nm6476242,"nm6476242,nm5056705"
tt8327628,nm0605513,nm0605513
tt8328284,"nm3697301,nm7553281","nm7553281,nm3697301"
tt8329332,nm4017966,"nm3858560,nm8173772"
tt8329472,nm2018364,nm2018364
tt8329736,"nm4093874,nm2841999",nm4093874
tt8333108,nm9795523,nm9797930
tt8336464,nm5876217,
tt8336812,,
tt8337410,,
tt8339356,nm7220188,nm7220188
tt8340156,,
tt8341384,nm6779356,nm9801459
